method,seed,endurance_min,mission_time_min,energy_Wh,completed,mean_comp_time,final_soc,fuel_used_Wh,fuel_remaining_Wh,mean_wind,max_wind
baseline_fixed,0,107.96666666666667,39.4,210.3442180707731,True,,0.19989862174451678,194.77368291381612,55.22631708618388,1.9664916499857885,5.629715293792411
baseline_offline,0,123.41666666666667,39.4,239.75715557076714,True,,0.21201939620747226,250.03146575142932,-0.03146575142932306,2.0275111361330835,6.181000449639748
aemcf,0,124.28333333333333,40.15,241.32160643905794,True,0.002039252007912865,0.19998252269671488,249.95394123567053,0.04605876432947298,2.0247161432532197,6.181000449639748
aemcf_nowind,0,124.26666666666667,38.68333333333333,241.3713177458654,True,0.002231868374061088,0.19991952560556345,250.02505299148112,-0.02505299148111817,2.0247665765188216,6.181000449639748
baseline_fixed,1,107.96666666666667,38.95,210.34414926655592,True,,0.1998988671048969,194.77429387144892,55.22570612855108,2.1925088707924965,6.68423672397749
baseline_offline,1,123.41666666666667,38.95,239.75708676654992,True,,0.21201960798917044,250.0328749187627,-0.0328749187627011,2.168340871018006,6.68423672397749
aemcf,1,125.25,39.266666666666666,241.27400183945946,True,0.0018916554644016488,0.19992397264593495,249.99598099069456,0.0040190093054377485,2.1612993680796038,6.68423672397749
aemcf_nowind,1,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0018373654965152173,0.1999035879022249,250.00213298172963,-0.002132981729630501,2.1661670057621785,6.68423672397749
baseline_fixed,2,107.96666666666667,38.43333333333333,210.34060399560275,True,,0.19991150977534167,194.77351442226873,55.22648557773127,2.078986132958051,6.146811308970281
baseline_offline,2,123.4,38.43333333333333,239.72181232893007,True,,0.21212818389678512,250.00142827876724,-0.0014282787672357244,2.0650269581506393,6.146811308970281
aemcf,2,123.91666666666667,38.78333333333333,241.3515038800298,True,0.0019123591152667662,0.19997384826874182,249.96782476596795,0.03217523403205291,2.0622326289295128,6.146811308970281
aemcf_nowind,2,124.25,38.68333333333333,241.33958857919876,True,0.00206454891401423,0.19990742425257554,249.9646324424994,0.035367557500592284,2.0600943561820753,6.146811308970281
baseline_fixed,3,107.96666666666667,37.88333333333333,210.34366576107723,True,,0.1999005913173788,194.77257693579605,55.22742306420395,1.928924832108347,5.623760952681795
baseline_offline,3,123.41666666666667,37.88333333333333,239.75660326107123,True,,0.21202109623532564,250.02968072127769,-0.029680721277685507,1.9336778873994418,5.623760952681795
aemcf,3,123.68333333333334,38.0,241.39918647259634,True,0.0019689436086787614,0.19996953014523802,249.99627794016138,0.0037220598386227266,1.932098485065043,5.623760952681795
aemcf_nowind,3,124.25,38.68333333333333,241.33958857919876,True,0.002120549373171694,0.20004607148717599,250.00287407042916,-0.0028740704291578822,1.9336958857138091,5.623760952681795
baseline_fixed,4,107.96666666666667,36.65,210.34359435714248,True,,0.1999008459485282,194.77361860596992,55.226381394030085,2.028877285362087,6.2342605446095885
baseline_offline,4,123.41666666666667,36.65,239.75653185713648,True,,0.21202131601904198,250.03220814837297,-0.032208148372973255,1.9873265841123708,6.2342605446095885
aemcf,4,124.33333333333333,36.733333333333334,241.3326998778711,True,0.002013853235654272,0.19995732329357688,249.97969434626017,0.020305653739825402,1.9784203086437049,6.2342605446095885
aemcf_nowind,4,124.25,38.68333333333333,241.33958857919876,True,0.002240399129174682,0.19998783003444562,249.98798127031773,0.012018729682267804,1.9793567411405886,6.2342605446095885
baseline_fixed,5,107.96666666666667,38.666666666666664,210.34555602303942,True,,0.19989385051834074,194.7785687035819,55.2214312964181,2.1205157216890007,6.089478764388486
